borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AR_1,SHAPE_LEN,20_placeke,20_parent_,20_locatio,20_street_,20_city,20_region,20_safegra,20_brands,20_date_ra,20_date__1,20_raw_vis,20_raw_v_1,20_conc_ad
4.0000000000000000000000000000000,Queens,"081",QN35,Briarwood-Jamaica Hills,29408863.1561000011861324310302734375000,30081.9321488999994471669197082519531,"11432","0",Jamaica,62075.00000000,60177575.63806460,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s9p-xnq,,Rufus King Park,150 05 Jamaica Avenue,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"2959","1400","150 05 Jamaica Avenue, New York, NY, 11432"
4.0000000000000000000000000000000,Queens,"081",QN35,Briarwood-Jamaica Hills,29408863.1561000011861324310302734375000,30081.9321488999994471669197082519531,"11435","0",Jamaica,53404.00000000,42105899.15650621,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s9w-249,,Howard Von Dohlen Playground,138 02 91 Avenue,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"272","139","138 02 91 Avenue, New York, NY, 11435"
4.0000000000000000000000000000000,Queens,"081",QN60,Kew Gardens,20455799.5034000016748905181884765625000,21357.6180303000001003965735435485840,"11367","0",Flushing,41773.00000000,72810151.58854012,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-sb2-pjv,,Abe Wolfson Triangle,Abe Wolfson Triangle,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"329","116","Abe Wolfson Triangle, New York, NY, 11367"
4.0000000000000000000000000000000,Queens,"081",QN60,Kew Gardens,20455799.5034000016748905181884765625000,21357.6180303000001003965735435485840,"11385","0",Ridgewood,98436.00000000,124786310.90785700,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzw-222@627-s8c-49z,,Drumm Triangle,Drumm Triangle,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"713","588","Drumm Triangle, New York, NY, 11385"
4.0000000000000000000000000000000,Queens,"081",QN60,Kew Gardens,20455799.5034000016748905181884765625000,21357.6180303000001003965735435485840,"11375","0",Forest Hills,68555.00000000,55587771.83448650,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s7v-3wk,,Nyc Open Space 64,Nyc Open Space 64,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"256","93","Nyc Open Space 64, New York, NY, 11375"
4.0000000000000000000000000000000,Queens,"081",QN60,Kew Gardens,20455799.5034000016748905181884765625000,21357.6180303000001003965735435485840,"11435","0",Jamaica,53404.00000000,42105899.15650621,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s9w-249,,Howard Von Dohlen Playground,138 02 91 Avenue,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"272","139","138 02 91 Avenue, New York, NY, 11435"
4.0000000000000000000000000000000,Queens,"081",QN60,Kew Gardens,20455799.5034000016748905181884765625000,21357.6180303000001003965735435485840,"11415","0",Kew Gardens,18990.00000000,16802279.50940650,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzy-222@627-s9s-rtv,,C Restaurant and Lounge,120 29 83rd Ave,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"4","4","120 29 83rd Ave, New York, NY, 11415"
4.0000000000000000000000000000000,Queens,"081",QN60,Kew Gardens,20455799.5034000016748905181884765625000,21357.6180303000001003965735435485840,"11418","0",Richmond Hill,36607.00000000,32025130.92279120,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s87-w6k,,Maurice A Fitzgerald Playground,Maurice A Fitzgerald Playground,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"195","63","Maurice A Fitzgerald Playground, New York, NY, 11418"
4.0000000000000000000000000000000,Queens,"081",QN21,Middle Village,57684674.7748999968171119689941406250000,42668.2594742000001133419573307037354,"11378","0",Maspeth,35473.00000000,66260538.74335290,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzz-222@627-s7r-pvz,,Reiff Playground,Reiff Playground,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"90","54","Reiff Playground, New York, NY, 11378"
4.0000000000000000000000000000000,Queens,"081",QN21,Middle Village,57684674.7748999968171119689941406250000,42668.2594742000001133419573307037354,"11385","0",Ridgewood,98436.00000000,124786310.90785700,NY,Queens,"36","081",http://www.usps.com/,0.00000000000,0.00000000000,zzw-222@627-s8c-49z,,Drumm Triangle,Drumm Triangle,New York,NY,,,2020-04-01T00:00:00-04:00,2020-05-01T00:00:00-04:00,"713","588","Drumm Triangle, New York, NY, 11385"
